Id,FirstName,LastName,Department,Email
56,Lucas,Thomsen,HR,aa852@eksamen.com,True
57,Oscar,Rasmussen,Finance,a1ee6@eksamen.com,True
58,Emma,Christiansen,HR,2638d@eksamen.com,True
59,Ida,Petersen,Management,d5ae6@eksamen.com,True
60,Isabella,Andreasen,HR,ada0e@eksamen.com,True
61,Alma,Mortensen,R&D,a109f@eksamen.com,True
62,Victor,Johansen,Management,d6d6f@eksamen.com,True
63,Nora,Poulsen,Sales,f068e@eksamen.com,True
64,William,Olsen,HR,7b98f@eksamen.com,True
65,Victor,Simonsen,Support,59027@eksamen.com,True
66,Oscar,Thomsen,Support,77acc@eksamen.com,True
67,Isabella,Sørensen,HR,c04f9@eksamen.com,True
68,Liam,Kristensen,Sales,a03d8@eksamen.com,True
69,Noah,Henriksen,R&D,16a00@eksamen.com,True
70,Alma,Johansen,Sales,31c64@eksamen.com,True
71,Mathias,Petersen,Support,23c28@eksamen.com,True
72,Sara,Andreasen,Finance,9f37d@eksamen.com,True
73,Sofie,Iversen,HR,06840@eksamen.com,True
74,Emil,Jakobsen,IT,175b8@eksamen.com,True
75,William,Nielsen,Support,2995e@eksamen.com,True
76,Mia,Lund,Sales,627cc@eksamen.com,True
77,Nora,Jeppesen,IT,52718@eksamen.com,True
78,Ida,Larsen,IT,d0a9c@eksamen.com,True
79,Magnus,Madsen,Sales,1e798@eksamen.com,True
80,Oscar,Nielsen,Management,758ef@eksamen.com,True
81,Mia,Henriksen,Support,0fe1c@eksamen.com,True
82,William,Andreasen,HR,f851f@eksamen.com,True
83,Mathias,Poulsen,R&D,698d6@eksamen.com,True
84,Victor,Andersen,Management,53221@eksamen.com,True
85,Lærke,Jeppesen,Support,4a9c7@eksamen.com,True
86,Sophia,Hansen,HR,0f570@eksamen.com,True
87,Anna,Thomsen,Support,ec0af@eksamen.com,True
88,Lucas,Jørgensen,Finance,0909c@eksamen.com,True
89,Magnus,Andersen,Sales,01043@eksamen.com,True
90,Ava,Thomsen,Finance,6fab2@eksamen.com,True
91,Freja,Eriksen,R&D,4c28d@eksamen.com,True
92,Mathias,Jeppesen,Support,4ba6f@eksamen.com,True
93,William,Jørgensen,Finance,e6947@eksamen.com,True
94,Emil,Jeppesen,Management,4ace7@eksamen.com,True
95,Lucas,Johansen,IT,22f92@eksamen.com,True
96,Victor,Sørensen,Sales,70d03@eksamen.com,True
97,Oliver,Henriksen,Management,4e4e1@eksamen.com,True
98,Clara,Møller,Support,98a2e@eksamen.com,True
99,Isabella,Jeppesen,Support,efc72@eksamen.com,True
100,Ida,Knudsen,HR,f665c@eksamen.com,True
